Author
"Devis Bianchini"
"Valeria De Antonellis"
"Michele Melchiori"
"Chung-Horng Lung"
"Pragash Rajeswaran"
"Sathyanarayanan Sivadas"
"Theleepan Sivabalasingam"
"Bryn Ll. Jones"
"Eric C. Kerrigan"
"Youssef Qaraai"
"Abdes Samed Bernoussi"
"Larbi Afifi"
"El Mostafa Magri"
"Abdelhaq El Jai"
"Lalit Kumar Awasthi"
"Manoj Misra"
"Ramesh C. Joshi"
"Jeremy Philippe"
"Noel De Palma"
"Fabienne Boyer"
"Olivier Gruber"
"Gianluigi Folino"
"Carlo Mastroianni"
"Zafeirios C. Papazachos"
"Helen D. Karatza"
"Andrew J. Page"
